Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Rent
Virgin Mega Store,Oct 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,457
Virgin Mega Store,Oct 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Sep 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,4721
Virgin Mega Store,Sep 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Bose,Apr 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8192
Bose,Apr 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Aug 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Aug 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Dec 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Dec 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Feb 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8250
Bose,Feb 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Jan 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8250
Bose,Jan 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Jul 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Jul 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Jun 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Jun 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Mar 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8250
Bose,Mar 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,May 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,May 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Nov 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Nov 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Oct 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Oct 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
Bose,Sep 2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,8663
Bose,Sep 2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,9096
IStyle,Apr 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,10520
IStyle,Apr 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Aug 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Aug 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Dec 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Dec 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Feb 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11167
